timestamp,frame,student,confidence,x,y,width,height
2026-08-25T10:20:48,4,student_01,0.7504,203,180,183,183
2026-08-25T10:20:51,91,student_01,0.9221,205,147,198,198
2026-08-25T10:20:55,211,student_01,0.9973,271,174,159,159
2026-08-25T10:20:58,303,student_01,0.9944,286,170,168,168
2026-08-25T10:21:01,393,student_01,0.9928,307,164,145,145
2026-08-25T10:21:06,530,student_01,0.9977,287,160,138,138
2026-08-25T10:21:18,817,student_01,0.9949,249,117,171,171
2026-08-25T10:21:22,938,student_01,0.9997,249,129,168,168
2026-08-25T10:21:25,1022,student_01,0.9707,236,113,188,188
2026-08-25T10:21:28,1110,student_01,0.9768,234,111,196,196
2026-08-25T10:21:31,1198,student_01,0.9860,225,101,198,198
2026-08-25T10:21:34,1287,student_01,0.9897,230,106,191,191
2026-08-25T10:21:37,1375,student_01,0.9970,234,109,185,185
2026-08-25T10:21:42,1511,student_01,0.9996,250,168,121,121
2026-08-25T10:21:45,1601,student_01,0.8734,225,122,215,215
